2017-05-26 17:43:02,14 SWF 
2017-05-26 17:43:05,59 OK 
2017-05-27 17:30:00,32 DOK 
2017-05-27 17:30:07,81 SSW 
2017-05-27 17:30:22,90 WCY 
2017-05-27 17:34:50,22 WEL 
2017-05-27 17:36:39,61 WIG 
2017-05-27 17:36:42,62 WLO 
2017-05-27 17:38:13,89 WME 
2017-05-27 17:41:36,40 WML 
2017-05-27 17:41:39,52 WTC 
2017-05-27 17:41:42,26 SWF 
2017-05-27 17:41:45,01 OK 
2017-05-28 17:30:00,22 DOK 
2017-05-28 17:30:05,16 SSW 
2017-05-28 17:30:21,56 WCY 
2017-05-28 17:35:01,34 WEL 
2017-05-28 17:36:50,41 WIG 
2017-05-28 17:36:53,50 WLO 
2017-05-28 17:38:24,42 WME 
2017-05-28 17:41:48,05 WML 
2017-05-28 17:41:51,14 WTC 
2017-05-28 17:41:53,88 SWF 
2017-05-28 17:41:56,94 OK 
2017-05-29 17:30:00,46 DOK 
2017-05-29 17:30:08,86 SSW 
2017-05-29 17:30:28,44 WCY 
2017-05-29 17:35:18,03 WEL 
2017-05-29 17:37:05,87 WIG 
2017-05-29 17:37:09,06 WLO 
2017-05-29 17:38:42,56 WME 
2017-05-29 17:42:11,39 WML 
2017-05-29 17:42:15,63 WTC 
2017-05-29 17:42:19,05 SWF 
2017-05-29 17:42:22,49 OK 
2017-05-30 17:30:00,34 DOK 
2017-05-30 17:30:08,18 SSW 
2017-05-30 17:30:24,99 WCY 
2017-05-30 17:35:04,37 WEL 
2017-05-30 17:36:54,13 WIG 
2017-05-30 17:36:57,28 WLO 
2017-05-30 17:38:30,40 WME 
2017-05-30 17:42:00,68 WML 
2017-05-30 17:42:04,81 WTC 
2017-05-30 17:42:08,45 SWF 
2017-05-30 17:42:12,12 OK 
2017-05-31 17:30:00,20 DOK 
2017-05-31 17:30:08,23 SSW 
2017-05-31 17:30:25,14 WCY 
2017-05-31 17:34:53,47 WEL 
2017-05-31 17:36:56,58 WIG 
2017-05-31 17:36:59,69 WLO 
2017-05-31 17:38:36,49 WME 
2017-05-31 17:42:08,80 WML 
2017-05-31 17:42:12,69 WTC 
2017-05-31 17:42:15,97 SWF 
2017-05-31 17:42:19,30 OK 
2017-06-01 17:30:00,14 DOK 
2017-06-01 17:30:09,58 SSW 
2017-06-01 17:30:27,28 WCY 
2017-06-01 17:35:10,31 WEL 
2017-06-01 17:37:09,16 WIG 
2017-06-01 17:37:12,42 WLO 
2017-06-01 17:38:47,67 WME 
2017-06-01 17:42:28,22 WML 
2017-06-01 17:42:32,14 WTC 
2017-06-01 17:42:35,56 SWF 
2017-06-01 17:42:38,91 OK 
2017-06-02 17:30:00,09 DOK 
2017-06-02 17:30:09,44 SSW 
2017-06-02 17:30:28,38 WCY 
2017-06-02 17:35:55,87 WEL 
2017-06-02 17:38:19,79 WIG 
2017-06-02 17:38:24,05 WLO 
2017-06-02 17:40:28,27 WME 
2017-06-02 17:45:01,02 WML 
2017-06-02 17:45:04,69 WTC 
2017-06-02 17:45:07,51 SWF 
2017-06-02 17:45:10,29 OK 
2017-06-03 17:30:00,42 DOK 
2017-06-03 17:30:08,79 SSW 
2017-06-03 17:30:28,61 WCY 
2017-06-03 17:35:18,97 WEL 
2017-06-03 17:37:14,71 WIG 
2017-06-03 17:37:17,95 WLO 
2017-06-03 17:38:53,10 WME 
2017-06-03 17:42:27,34 WML 
2017-06-03 17:42:31,34 WTC 
2017-06-03 17:42:34,74 SWF 
2017-06-03 17:42:38,21 OK 
2017-06-04 17:30:00,44 DOK 
2017-06-04 17:30:11,62 SSW 
2017-06-04 17:30:29,21 WCY 
2017-06-04 17:35:31,88 WEL 
